year,gender,total_papers
2000,Unknown,93
2000,FeMaleale,200
2000,Male,1107
2001,Unknown,134
2001,FeMaleale,286
2001,Male,1531
2002,Unknown,167
2002,FeMaleale,339
2002,Male,1660
2003,Unknown,195
2003,FeMaleale,388
2003,Male,1971
2004,Unknown,279
2004,FeMaleale,633
2004,Male,2742
2005,Unknown,354
2005,FeMaleale,736
2005,Male,3431
2006,Unknown,353
2006,FeMaleale,775
2006,Male,3459
2007,Unknown,413
2007,FeMaleale,937
2007,Male,4034
2008,Unknown,365
2008,FeMaleale,865
2008,Male,3583
2009,Unknown,405
2009,FeMaleale,876
2009,Male,3601
2010,Unknown,395
2010,FeMaleale,898
2010,Male,3982
2011,Unknown,396
2011,FeMaleale,1082
2011,Male,4521
2012,Unknown,459
2012,FeMaleale,1165
2012,Male,4745
2013,Unknown,441
2013,FeMaleale,1148
2013,Male,4678
2014,Unknown,695
2014,FeMaleale,1993
2014,Male,7471
2015,Unknown,478
2015,FeMaleale,1515
2015,Male,5897
2016,Unknown,647
2016,FeMaleale,1961
2016,Male,7510
2000,Unknown,85
2000,FeMaleale,348
2000,Male,1067
2001,Unknown,72
2001,FeMaleale,327
2001,Male,875
2002,Unknown,98
2002,FeMaleale,404
2002,Male,1139
2003,Unknown,78
2003,FeMaleale,355
2003,Male,908
2004,Unknown,109
2004,FeMaleale,460
2004,Male,1398
2005,Unknown,151
2005,FeMaleale,701
2005,Male,1966
2006,Unknown,197
2006,FeMaleale,843
2006,Male,2407
2007,Unknown,159
2007,FeMaleale,604
2007,Male,1675
2008,Unknown,286
2008,FeMaleale,1134
2008,Male,3418
2009,Unknown,376
2009,FeMaleale,1157
2009,Male,3201
2010,Unknown,289
2010,FeMaleale,1340
2010,Male,3533
2011,Unknown,372
2011,FeMaleale,1451
2011,Male,4231
2012,Unknown,399
2012,FeMaleale,1493
2012,Male,3708
2013,Unknown,420
2013,FeMaleale,1721
2013,Male,4155
2014,Unknown,373
2014,FeMaleale,1459
2014,Male,3390
2015,Unknown,373
2015,FeMaleale,1343
2015,Male,3176
2016,Unknown,407
2016,FeMaleale,1780
2016,Male,3692
